cr,tier1,tier2,tier3,tier4
0,1,1,0,0
0.125,4,3,3,2
0.25,10,6,5,4
0.5,16,12,7,5
1,22,17,15,8
2,28,23,19,14
3,37,30,25,19
4,48,38,32,24
5,70,60,45,40
6,80,65,50,40
7,90,70,55,45
8,105,85,70,55
9,110,85,70,55
10,115,95,75,60
11,140,130,105,85
12,150,140,115,90
13,160,150,120,95
14,165,155,125,100
15,175,165,130,105
16,185,175,140,110
17,250,200,190,150
18,260,210,200,160
19,280,220,210,170
20,300,240,230,180
21,400,350,275,250
22,450,375,300,275
23,500,425,325,325
24,550,450,375,350
25,600,500,400,375
26,650,525,425,400
27,725,600,475,450
28,775,625,500,475
29,775,650,525,475
30,850,725,575,525